file_name,freq,Trend,Seasonality,Stationarity,Transition,Shifting,Non-stationary Transformers,Crossformer,Arima,Block RNN,Kalman Filter,Linear Regression,Naive Drift,Naive Mean,Naive Moving Average,Naive Seasonal,N-BEATS,N-HiTS,Random Forest,RNN,Statsforecast Autoces,Statsforecast Autoets,Statsforecast Autotheta,TCN,TiDE,Xgboost,DLinear,FEDformer,FiLM,Informer,Linear,NLinear,Non-stationary Transformers,PatchTST,TimesNet,Triformer,Lightgbm
m4_Daily_dataset_105.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,1.368685313,197.3153001,1.186175241,1.068342369,2.494127624,1.757392092,0.711788844,1.880670855,1.355833032,0.838011011,198.8849899,0.936825605,1.938043055,2.639693056,0.590735959,0.974853804,33.87747288,8.991095555,2.299348048,1.175158694,1.753957798,,,,,,,,,,
m4_Daily_dataset_1050.csv,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,1.944479785,150.1543997,2.672829214,2.071467294,2.671853179,1.941774792,1.684192267,1.734855946,2.189124823,2.152093014,162.3442765,1.843044492,1.958631567,1.598290727,2.427418676,2.314977272,29.28674968,3.987629564,1.873911853,3.099067208,1.941769997,,,,,,,,,,
m4_Daily_dataset_1051.csv,Daily,FALSE,FALSE,TRUE,TRUE,TRUE,,129.2511945,13.10103828,12.3188794,13.62613333,13.22588414,11.20289505,11.87943917,13.66232694,12.6548881,145.8038419,13.53489136,13.06172404,12.91977036,13.34914016,13.67793875,10.10790272,10.65997324,13.37640713,10.62731042,13.21621545,,,,,,,,,,
m4_Daily_dataset_1052.csv,Daily,TRUE,FALSE,FALSE,FALSE,TRUE,0.32234975,181.8616081,0.494614337,0.181193105,0.550169292,0.24416734,0.686399854,0.715798382,0.282345242,0.395946344,192.5544105,0.211061901,0.251593609,0.471569903,0.271407535,0.316207761,13.11808295,11.98611842,0.553117252,0.629018342,0.416189063,,,,,,,,,,
m4_Daily_dataset_1055.csv,Daily,TRUE,FALSE,FALSE,FALSE,TRUE,0.649140743,185.2970322,1.106663884,0.549820233,0.591365491,0.692571601,2.300401442,0.647005339,1.501743174,1.283828547,193.9847181,0.509767241,0.764120727,0.476566462,0.556116008,0.57399013,20.34232607,12.61014691,0.600359962,1.032847249,0.619971648,,,,,,,,,,
m4_Daily_dataset_1059.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,0.444055199,179.630727,0.777197743,0.224979277,0.475015759,0.416154573,0.757998898,0.514285718,0.285662811,0.398854147,191.623495,0.257644906,0.323970493,0.334399237,0.256911318,0.309283313,7.196369087,12.08227164,0.372576605,0.817444545,0.416154574,,,,,,,,,,
m4_Daily_dataset_1082.csv,Daily,TRUE,TRUE,FALSE,FALSE,TRUE,2.175777939,144.3820304,2.316600886,1.774979114,1.578928818,2.082481841,2.314846556,2.204716834,2.227540356,1.815689353,160.1785596,2.347644922,2.174430199,1.019746523,1.598370593,1.260054469,8.403197596,5.672068951,0.761006776,0.737066647,1.886794133,,,,,,,,,,
m4_Daily_dataset_1093.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,2.302611478,136.3389247,1.225590217,1.029890662,1.329678241,1.172444543,1.030736388,1.457224741,1.217018132,1.213538365,154.2595223,1.011838837,1.3075487,2.356713548,0.929961136,0.881620652,34.48929769,5.373307048,1.680843577,0.841048706,1.106550825,,,,,,,,,,
m4_Daily_dataset_1104.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,2.720515207,189.6716269,2.028981433,1.760706858,2.271383846,1.749092791,2.900313989,1.795204452,1.777667456,1.783400555,190.9331649,2.208554188,1.692932686,1.191812788,1.570401987,1.661662034,47.14454521,2.987851448,1.05949536,0.783498346,1.709496638,,,,,,,,,,
m4_Daily_dataset_113.csv,Daily,TRUE,FALSE,FALSE,FALSE,TRUE,1.353809498,196.1698156,3.128114643,1.949212055,0.941106528,6.731565987,2.832442045,0.852553616,2.094302463,2.879285499,198.409059,1.866315056,2.033884986,1.978583708,1.254679888,0.762615639,47.06253807,9.777077052,0.749543959,1.685016446,2.573431213,,,,,,,,,,
m4_Daily_dataset_1137.csv,Daily,TRUE,FALSE,FALSE,TRUE,FALSE,2.59152639,119.0697274,2.166775095,2.146448355,1.762281071,2.096882306,1.932969103,1.966170764,2.049148996,2.207865097,129.6435592,2.158712851,2.043877281,1.202123576,2.028801756,1.93593523,22.40597483,2.915962374,1.508611208,1.094905979,1.946936198,,,,,,,,,,
m4_Daily_dataset_1139.csv,Daily,TRUE,FALSE,FALSE,TRUE,FALSE,2.011321296,134.7465335,1.929217085,1.890455088,1.84279994,1.836269536,1.88710113,1.725654554,1.780000334,1.930359077,143.4553947,1.709284771,1.81669797,1.427715416,1.77020329,1.644210604,32.58459467,2.694176976,1.555522193,1.314378659,1.849021114,,,,,,,,,,
m4_Daily_dataset_1146.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,2.393370141,90.35992537,1.620456533,1.750462189,2.499867672,2.257541498,3.330051457,1.621234381,1.885750138,2.388570849,103.1089393,1.497345856,2.44938422,1.639043092,1.517086588,1.406735914,44.48127175,5.126650708,0.687376492,1.360044859,2.338298628,,,,,,,,,,
m4_Daily_dataset_1150.csv,Daily,TRUE,FALSE,FALSE,TRUE,FALSE,1.61147176,130.9912677,1.705200578,1.606490508,1.423224071,1.625251818,1.725993531,1.37000048,1.558658065,1.656060593,139.9232572,1.733139935,1.590439046,3.418680951,1.552334085,1.50145674,23.48929345,2.614469923,1.901250734,0.901817168,1.487089627,,,,,,,,,,
m4_Daily_dataset_1151.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,1.787187207,113.2946462,2.245880983,2.034192467,1.92812083,2.380954119,2.315064372,1.339930793,1.953475585,2.419567566,123.9084189,1.775571289,2.529806732,2.305194175,1.939642807,1.921516333,5.943210756,2.793361497,1.619266274,2.429378841,2.508994219,,,,,,,,,,
m4_Daily_dataset_1164.csv,Daily,FALSE,TRUE,FALSE,TRUE,TRUE,,106.2416425,3.395744795,2.476584901,3.320303614,2.762657451,2.099943319,1.706862525,2.447536139,2.806095988,129.453741,2.506681951,2.579574875,3.222612664,2.206729795,2.433057608,24.978573,3.428733591,1.548631116,2.247934086,2.762637291,,,,,,,,,,
