publication,ICLR,ICLR,ICML,AAAI,IJCAI,AAAI,AAAI,ICLR,ICLR,arXiv,NeurIPS,arXiv,Wiley,Economet Rev,ICLR,ICLR,ICLR,NeurIPS,ICLR,KDD,ICLR
bib,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://dblp.org/rec/conf/iclr/ZhangY23.html?view=bibtex,https://dblp.org/rec/conf/icml/ZhouMWW0022.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZhouZPZLXZ21.html?view=bibtex,https://dblp.org/rec/conf/ijcai/CirsteaG0KDP22.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/iclr/Wang0HWCX23.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-1803-01271.html?view=bibtex,https://dblp.org/rec/conf/nips/ZhouMWW0YY022.html?view=bibtex,https://proceedings.mlr.press/v89/gasthaus19a.html,https://books.google.com/books?hl=zh-CN&lr=&id=8r0qE35wt44C&oi=fnd&pg=PR5&dq=Regression+models+for+time+series+analysis&ots=vd653g9LXv&sig=JPr8C-hETsPfWyuxTUlWgL0eKDA,https://www.tandfonline.com/doi/abs/10.1080/07474939408800286,https://dblp.org/rec/journals/corr/abs-2310-06625.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2307-03756.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2405-14616.html?view=bibtex,https://dblp.org/rec/conf/nips/LiuWWL22.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2402-05956.html?view=bibtex,,https://dblp.uni-trier.de/rec/conf/iclr/0001WLLB0X24.html?view=bibtex
year,2023,2023,2022,2021,2022,2023,2023,2022,2023,2018,2022,2019,2005,1994,2024,2024,2024,2022,2024,2025,2024
Health/ILI-60-mae,0.896,1.45,1.07,1.151,1.893,1.086,0.947,1.012,0.905,1.65,0.929,2.313,3.057,1.152,0.963,1.142,0.93,1.01,0.929,0.805,0.925
Health/ILI-60-mse,1.914,4.692,2.54,2.876,7,2.292,1.964,2.303,1.995,5.733,1.974,9.326,17.222,3.151,2.183,2.642,1.831,2.41,1.999,1.623,1.845
Energy/Solar-96-mae,0.234,0.208,0.559,0.37,0.279,0.265,0.245,0.25,0.27,0.246,0.259,0.547,0.365,0.593,0.229,0.255,0.233,0.398,0.235,0.191,0.247
Energy/Solar-96-mse,0.17,0.183,0.472,0.331,0.225,0.199,0.202,0.19,0.198,0.202,0.214,0.826,0.235,0.556,0.174,0.208,0.18,0.381,0.218,0.165,0.181
Energy/Solar-192-mae,0.302,0.226,0.477,0.388,0.295,0.282,0.258,0.284,0.276,0.348,0.257,0.583,0.369,0.686,0.27,0.267,0.259,0.386,0.22,0.21,0.259
Energy/Solar-192-mse,0.204,0.208,0.415,0.371,0.25,0.22,0.223,0.226,0.206,0.295,0.226,0.917,0.253,0.668,0.205,0.229,0.201,0.395,0.196,0.199,0.2
Energy/Solar-336-mae,0.293,0.239,0.839,0.42,0.297,0.295,0.265,0.308,0.284,0.316,0.265,0.603,0.402,0.724,0.282,0.273,0.272,0.394,0.22,0.212,0.269
Energy/Solar-336-mse,0.212,0.212,1.008,0.412,0.261,0.234,0.238,0.259,0.208,0.313,0.241,0.972,0.291,0.71,0.216,0.241,0.214,0.41,0.195,0.206,0.208
Energy/Solar-720-mae,0.307,0.256,0.62,0.404,0.292,0.301,0.268,0.365,0.294,0.249,0.268,0.617,0.452,0.751,0.26,0.277,0.278,0.376,0.237,0.218,0.275
Energy/Solar-720-mse,0.215,0.215,0.642,0.384,0.259,0.243,0.246,0.341,0.232,0.257,0.247,1.012,0.333,0.738,0.211,0.248,0.218,0.377,0.208,0.204,0.212
