,Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
11,Stationarity_False,2.0329102039658548e+16,967387344.7588122,927873888.6167305,5067111.796025488,2434218609951288.5,3259368177.1474404,967270499.92334,965001636.9574988,968217158.9738128,1362158270830690.8,1.5270271217503772e+16,1898579853951844.0,2382206761615833.0,2235266082342904.0,2193334865605520.0,2451816835587829.0,2.4218750093098524e+16,1671274344762042.0,1150982905788600.0,1466031568917328.0,2252055891011684.0,2252055891011684.0,1.5289128832466656e+16,2222323917265760.0,2104642178046240.0,2248627162102988.8,2.032910203973742e+16,2185245634326573.5,3043906417.4656634,56757.31478229231
12,Stationarity_True,3874.037818020607,1240.272890413804,1260.620131728036,1620.5725383600866,1443.7588118772906,3528.6863552062623,1252.7345528036112,1290.8712836755135,1238.8472140383567,1337.9083519273256,1184.5831309421678,1421.2480326817692,4045.882660231605,2249.3825749378066,2325.7717929696864,1166.6476193875326,6825.327873863009,1172.0227889735038,1354.571758804275,1222.197792914273,2279.4728198054067,2279.4728198054067,1972.8661309170695,2380.8649129296828,15296.682416164436,2279.8841865793856,7052.210166493802,1301.0396443481077,7051.9138117085,1461.080729055045
13,Transition_False,4759051.978210884,1149761.2819558445,1224804.0574624452,2060379.3762454365,1508493.7732601431,5122940.279242466,1140134.26112996,1329146.4748937895,1297296.5784022247,1705340.620099267,952947.110391322,1442938.2148825068,2378112.276806196,833722.5463967287,1142200.8630290856,850511.7843885336,6142798.138297938,1750986.3362561965,1101100.413271058,1240306.8468024314,785359.6141792138,785359.6141792138,3101924.662364129,848259.3546550403,18633413033401.395,1066722.1275684964,4833965.370224951,1433888.0215186763,4833970.759059321,86014.03443582737
14,Transition_True,1.914385710379781e+16,910340502.2883998,873089785.5583066,3642689.741819351,2292296685159788.5,3066472619.1861444,910235798.0832686,907994828.2003584,911040406.5595309,1282740537339553.2,1.4379970624539398e+16,1787887204368342.2,2243317276223436.5,2104943660688819.2,2065457153935268.0,2550724730703733.0,2.068412169825681e+16,1573834257887656.5,1083877301861178.6,1380557724595809.2,2120754575401912.5,2120754575401912.5,1.4397728785298146e+16,2092756060933404.8,1971641772289400.8,2117525751063446.5,1.914385710383255e+16,2057765959449123.2,2863737134.985505,2170.9125941404127
15,Shifting_False,378082.4589653447,16566.24745751885,14200.016691932457,21336.228593233496,19400.71471688426,360541.4497959352,12218.930218934756,25267.29178492604,24300.3892347534,4578.49335408785,2708.415971731557,145297.76692201718,491418.8769478195,51287.46723661627,61510.86417325732,67409.5251523949,416213.8199414394,2378.6196658664794,116514.7805982973,270056.61798132386,3018.1631327721884,3018.1631327721884,102713.9060081868,51530.25340649468,8562652.778700478,72498.67799262318,380367.75865180313,50500.08328111022,380371.0739438934,52738.22076857645
16,Shifting_True,2.428377480610237e+16,1155606550.2837813,1108406872.5448437,6113355.973609446,2907753448139937.0,3893229487.484327,1155471194.075317,1152748234.9714098,1156590330.5942993,1627142440183438.8,1.8240836548317504e+16,2267915500285080.0,2845623600051103.0,2670098171049495.5,2620009966325775.5,3002990435505613.0,2.8904888257107064e+16,1996391662987500.8,1374886585421306.5,1751222479183054.2,2690154144644031.0,2690154144644031.0,1.826336258376639e+16,2654638333146619.5,2514063652771457.0,2686058416170728.0,2.4283774806196864e+16,2610658621713486.5,3635826667.455895,26613.783020504063
0,Seasonality_False,94.62491549067153,38.965632608174765,42.29451967032748,42.08917054171077,45.97115253050621,89.44669579247457,41.40748926831255,45.008672104538846,45.74102062787883,47.33492436585107,42.17073313519918,57.716238875618,101.96883983059458,49.089947095910034,43.42949400948763,37.40722348899615,91.9673176148346,43.818940531751046,43.23830384261768,39.394726811448685,43.027020119261856,43.027020119261856,503.7299925554224,65.9117283231332,438195385853.6717,50.224441874790266,90.88595486071452,99.87052862680078,93.01081695146968,33.75582622073856
1,Seasonality_True,225.304979172628,182.73009191214123,166.0409840673464,179.4508698247873,184.4391670984269,160.1567348020586,184.69435330425335,195.09992396362085,183.01536355340065,171.0437257300708,169.97320269049615,176.6346525901038,170.4521542933133,188.83897009641151,194.1407589886512,187.67389403947723,94.43661909470228,180.53464220928092,170.85670234220353,166.27905422581082,178.58810765438585,178.58810765438585,225.90998587280876,178.32784356743176,36610233064.39025,174.44614492360105,91.83677761225488,175.3342173327454,94.64507339522122,16.993489380022076
2,freq_Daily,56.94478799310187,29.31254890586618,32.88950163667146,31.00934867834306,34.53922213101766,49.33680050453347,32.362636465808905,34.51387992499849,36.63384131910891,36.781495163185504,30.598812566472198,34.88178552020329,61.86321185378841,45.16288010696562,30.366228553212675,27.91069019495,75.23496006384092,28.32121582064562,34.92773216534192,31.07486254109181,30.69004573023396,30.69004573023396,1535.2398308123538,104.0069429293326,158.83306998352302,30.030269584296608,72.90909081516905,212.33087746203103,76.30205241575376,
3,freq_Hourly,91.3134484535364,61.98888805685287,63.90341688497687,73.63213102257578,84.50149793243952,79.07963230036505,81.88389372140418,72.13003717596855,66.03745276222095,71.23051235724252,45.13565408593291,64.6330730433054,73.46327470353297,94.61177120132986,104.59444548076463,,99.51976316146047,45.40555890647531,58.33271331367256,53.47692552139608,94.60731812367284,94.60731812367284,136.76954640299772,94.97606529388698,76.09566993313616,81.65169073151772,81.78291498042753,105.20376494749236,98.09717152987018,
